bigram,total_count,n_units
the cpi,647,210
t really,646,249
is quite,646,292
term rates,645,268
issue of,645,292
phillips curve,643,166
tight labor,642,219
period and,642,373
was expected,642,326
the consumer,641,325
the monetary,640,319
expect to,639,273
rates on,639,323
because they,639,302
variety of,637,325
inflation would,637,375
above trend,637,232
high level,635,373
laughter i,635,292
middle of,634,321
a pickup,634,317
upside risks,634,320
housing sector,633,306
reflected in,633,336
run inflation,632,281
are also,632,248
the reasons,632,304
take the,631,282
make the,631,290
household spending,630,351
that growth,630,341
the idea,629,228
president kocherlakota,629,94
the major,629,324
we ought,629,227
percentage points,628,247
tightening of,628,333
opposed to,628,267
and perhaps,628,335
real interest,628,274
would also,627,285
is something,627,279
central bank,626,302
import prices,626,264
pressures on,626,349
the upper,625,247
type of,625,291
implications of,625,355
well above,624,318
president williams,624,120
in favor,624,225
come down,624,264
the degree,624,322
the month,623,307
to growth,623,267
worried about,622,267
over year,620,264
projections for,620,253
to hold,619,346
timing of,619,313
and employment,619,363
i mentioned,619,272
pass through,618,214
the january,618,214
especially in,617,320
back in,617,322
percent by,617,247
be consistent,617,396
rate as,617,338
our percent,617,133
downward pressure,616,341
our region,616,160
the treasury,616,205
taylor rule,616,165
in mind,615,288
a pace,615,352
members agreed,615,240
or two,615,281
while i,614,287
that policy,614,337
we still,614,267
economy that,613,327
faster than,613,320
far as,613,278
a lower,613,303
long as,613,285
and labor,613,349
change the,613,265
i find,613,283
in china,612,272
our current,610,258
higher inflation,610,301
stock prices,610,317
year to,609,259
asset prices,609,259
way of,608,288
a higher,608,310
we now,606,257
types of,606,345
the value,605,329
needed to,605,379
unit labor,605,243
be quite,605,314
reason to,604,305
more likely,604,317
markets have,604,266
that point,604,276
percent at,604,289
and consumer,604,347
on economic,603,336
s important,603,245
following the,603,352
about whether,603,282
view is,602,278
my outlook,602,185
to address,602,288
very good,602,279
motor vehicle,602,317
people are,601,272
growth will,601,234
this issue,601,260
it doesn,600,257
policy stance,600,334
economic data,600,356
expansion of,599,336
single family,598,336
per month,598,201
a high,597,344
respond to,597,305
favor of,597,224
even with,597,298
have said,596,268
a recession,596,196
growth was,596,342
have already,596,266
underlying inflation,595,244
as many,595,256
spending in,594,304
the problem,594,251
a point,593,270
to consider,593,282
investment in,593,327
of interest,593,288
i like,593,226
our contacts,593,190
is important,592,260
in panel,591,51
come back,591,261
as far,591,278
low level,591,347
financial system,591,204
no longer,591,316
said i,590,267
private sector,590,303
policy action,590,350
red line,589,142
reflecting the,589,340
now we,589,283
today i,588,253
january and,588,200
prepared to,588,310
a sharp,588,313
and even,587,296
inflation objective,587,258
previous meeting,587,200
three months,587,298
or even,587,317
the interest,586,249
the weakness,586,268
the coming,585,310
is expected,585,239
focused on,585,297
recognize that,584,277
the general,584,293
the following,584,441
to economic,583,371
this forecast,583,202
the early,583,305
rebound in,582,286
data have,582,242
very difficult,582,282
views on,582,335
to avoid,581,288
a fairly,581,289
the forward,580,195
support your,580,100
of both,580,350
see it,580,282
this table,580,255
that labor,579,327
in employment,579,330
so much,579,266
a reasonable,579,278
kinds of,578,257
other than,578,355
percent or,578,261
growth over,578,304
again i,577,230
in new,576,229
a pretty,576,234
a forecast,576,241
trend growth,576,228
state of,576,275
forecast that,575,273
somewhat more,575,317
the three,574,281
some sense,574,258
committee is,574,209
economy i,573,274
point of,573,273
very high,572,304
